Algorithm,Win.,Dim.,N. s.,WordSim,BATS Male-Female,BATS hypernyms - misc,BATS total,n
word2vec,2,50,1,0.0195,0.0476,0,0.0145,0.65
word2vec,2,50,5,0.113154809,0.238095238,0,0.019262972,0.668
word2vec,2,50,15,0.177320885,0,0,0.021982895,0.6597
word2vec,2,100,1,0.029558097,0,0,0.005306737,0.648695652
word2vec,2,100,5,0.093745524,0.142857143,0,0.017282336,0.670144928
word2vec,2,100,15,0.153116188,0.142857143,0,0.023535766,0.666666667
word2vec,2,300,1,0.058095,0,0,0.00616,0.651
word2vec,2,300,5,0.10045,0.0476,0,0.024035,0.671884058
word2vec,2,300,15,0.158629714,0.142857143,0,0.020229842,0.666666667
word2vec,5,50,1,-0.058647637,0.095238095,0,0.017717715,0.652753623
word2vec,5,50,5,0.127796957,0.19047619,0,0.014871468,0.666666667
word2vec,5,50,15,0.168394,0.047619048,0.043478261,0.018936968,0.674782609
word2vec,5,100,1,-0.039771536,0.047619048,0,0.009845429,0.648115942
word2vec,5,100,5,0.159356773,0.095238095,0,0.020823672,0.665507246
word2vec,5,100,15,0.165155929,0.047619048,0,0.020192401,0.669565217
word2vec,5,300,1,0.02458294,0,0,0.010648674,0.651014493
word2vec,5,300,5,0.139186096,0.047619048,0,0.019111383,0.670144928
word2vec,5,300,15,0.164087268,0.095238095,0,0.018112046,0.670724638
word2vec,10,50,1,-0.001339576,0.238095238,0.043478261,0.018562697,0.647536232
word2vec,10,50,5,0.102619098,0.142857143,0.043478261,0.02174556,0.663188406
word2vec,10,50,15,0.187489893,0,0,0.017492613,0.664927536
word2vec,10,100,1,-0.008086216,0.095238095,0,0.012709969,0.645797101
word2vec,10,100,5,0.10593183,0.095238095,0.043478261,0.020227881,0.664347826
word2vec,10,100,15,0.185987883,0.142857143,0.043478261,0.024654323,0.664347826
word2vec,10,300,1,0.0138897,0,0,0.003809036,0.646376812
word2vec,10,300,5,0.126646358,0.142857143,0.086956522,0.021119247,0.667246377
word2vec,10,300,15,0.194555343,0.142857143,0,0.016722159,0.659130435
